id,content_id,solution,rubric,autograde_rules
ex_content_1,content_1,Sample solution steps for Mathematics - geometry Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_2,content_2,Sample solution steps for Chemistry - inorganic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_3,content_3,Sample solution steps for Chemistry - organic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_4,content_4,Sample solution steps for Physics - thermodynamics Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_5,content_5,Sample solution steps for Aptitude - numerical Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_6,content_6,Sample solution steps for Aptitude - verbal Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_7,content_7,Sample solution steps for Mathematics - probability Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_8,content_8,Sample solution steps for Communication - speaking Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_9,content_9,Sample solution steps for Communication - writing Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_10,content_10,Sample solution steps for Chemistry - organic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_11,content_11,Sample solution steps for Communication - writing Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_12,content_12,Sample solution steps for Chemistry - organic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_13,content_13,Sample solution steps for Aptitude - numerical Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_14,content_14,Sample solution steps for Communication - speaking Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_15,content_15,Sample solution steps for Communication - writing Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_16,content_16,Sample solution steps for Communication - speaking Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_17,content_17,Sample solution steps for Physics - mechanics Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_18,content_18,Sample solution steps for Chemistry - inorganic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_19,content_19,Sample solution steps for Aptitude - numerical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_20,content_20,Sample solution steps for Communication - writing Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_21,content_21,Sample solution steps for Mathematics - calculus Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_22,content_22,Sample solution steps for Chemistry - inorganic Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_23,content_23,Sample solution steps for Programming - web_dev Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_24,content_24,Sample solution steps for Programming - web_dev Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_25,content_25,Sample solution steps for Chemistry - organic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_26,content_26,Sample solution steps for Mathematics - probability Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_27,content_27,Sample solution steps for Aptitude - numerical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_28,content_28,Sample solution steps for Mathematics - calculus Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_29,content_29,Sample solution steps for Chemistry - inorganic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_30,content_30,Sample solution steps for Programming - data_structures Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_31,content_31,Sample solution steps for Chemistry - inorganic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_32,content_32,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_33,content_33,Sample solution steps for Communication - writing Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_34,content_34,Sample solution steps for Communication - speaking Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_35,content_35,Sample solution steps for Communication - listening Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_36,content_36,Sample solution steps for Physics - thermodynamics Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_37,content_37,Sample solution steps for Mathematics - geometry Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_38,content_38,Sample solution steps for Communication - speaking Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_39,content_39,Sample solution steps for Aptitude - logical_reasoning Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_40,content_40,Sample solution steps for Communication - speaking Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_41,content_41,Sample solution steps for Programming - python Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_42,content_42,Sample solution steps for Aptitude - numerical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_43,content_43,Sample solution steps for Communication - speaking Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_44,content_44,Sample solution steps for Mathematics - geometry Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_45,content_45,Sample solution steps for Programming - python Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_46,content_46,Sample solution steps for Communication - speaking Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_47,content_47,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_48,content_48,Sample solution steps for Mathematics - geometry Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_49,content_49,Sample solution steps for Physics - thermodynamics Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_50,content_50,Sample solution steps for Communication - speaking Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_51,content_51,Sample solution steps for Communication - writing Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_52,content_52,Sample solution steps for Chemistry - inorganic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_53,content_53,Sample solution steps for Communication - listening Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_54,content_54,Sample solution steps for Chemistry - physical Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_55,content_55,Sample solution steps for Physics - mechanics Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_56,content_56,Sample solution steps for Mathematics - calculus Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_57,content_57,Sample solution steps for Chemistry - inorganic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_58,content_58,Sample solution steps for Aptitude - logical_reasoning Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_59,content_59,Sample solution steps for Programming - web_dev Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_60,content_60,Sample solution steps for Programming - python Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_61,content_61,Sample solution steps for Communication - writing Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_62,content_62,Sample solution steps for Communication - listening Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_63,content_63,Sample solution steps for Aptitude - verbal Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_64,content_64,Sample solution steps for Physics - electricity Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_65,content_65,Sample solution steps for Mathematics - geometry Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_66,content_66,Sample solution steps for Physics - electricity Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_67,content_67,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_68,content_68,Sample solution steps for Chemistry - organic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_69,content_69,Sample solution steps for Chemistry - organic Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_70,content_70,Sample solution steps for Aptitude - verbal Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_71,content_71,Sample solution steps for Communication - writing Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_72,content_72,Sample solution steps for Physics - mechanics Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_73,content_73,Sample solution steps for Communication - listening Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_74,content_74,Sample solution steps for Mathematics - algebra Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_75,content_75,Sample solution steps for Communication - listening Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_76,content_76,Sample solution steps for Physics - thermodynamics Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_77,content_77,Sample solution steps for Communication - writing Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_78,content_78,Sample solution steps for Aptitude - numerical Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_79,content_79,Sample solution steps for Programming - data_structures Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_80,content_80,Sample solution steps for Chemistry - inorganic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_81,content_81,Sample solution steps for Mathematics - geometry Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_82,content_82,Sample solution steps for Programming - web_dev Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_83,content_83,Sample solution steps for Aptitude - logical_reasoning Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_84,content_84,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_85,content_85,Sample solution steps for Physics - electricity Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_86,content_86,Sample solution steps for Mathematics - calculus Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_87,content_87,Sample solution steps for Mathematics - calculus Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_88,content_88,Sample solution steps for Physics - mechanics Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_89,content_89,Sample solution steps for Programming - web_dev Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_90,content_90,Sample solution steps for Chemistry - physical Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_91,content_91,Sample solution steps for Physics - mechanics Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_92,content_92,Sample solution steps for Programming - web_dev Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_93,content_93,Sample solution steps for Mathematics - algebra Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_94,content_94,Sample solution steps for Programming - data_structures Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_95,content_95,Sample solution steps for Chemistry - organic Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_96,content_96,Sample solution steps for Programming - web_dev Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_97,content_97,Sample solution steps for Mathematics - algebra Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_98,content_98,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_99,content_99,Sample solution steps for Chemistry - organic Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_100,content_100,Sample solution steps for Aptitude - verbal Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_101,content_101,Sample solution steps for Aptitude - numerical Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_102,content_102,Sample solution steps for Aptitude - numerical Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_103,content_103,Sample solution steps for Aptitude - verbal Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_104,content_104,Sample solution steps for Physics - mechanics Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_105,content_105,Sample solution steps for Chemistry - physical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_106,content_106,Sample solution steps for Physics - thermodynamics Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_107,content_107,Sample solution steps for Aptitude - logical_reasoning Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_108,content_108,Sample solution steps for Physics - thermodynamics Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_109,content_109,Sample solution steps for Aptitude - numerical Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_110,content_110,Sample solution steps for Aptitude - logical_reasoning Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_111,content_111,Sample solution steps for Chemistry - organic Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_112,content_112,Sample solution steps for Communication - speaking Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_113,content_113,Sample solution steps for Aptitude - verbal Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_114,content_114,Sample solution steps for Communication - listening Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_115,content_115,Sample solution steps for Mathematics - calculus Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_116,content_116,Sample solution steps for Mathematics - probability Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_117,content_117,Sample solution steps for Communication - listening Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_118,content_118,Sample solution steps for Aptitude - numerical Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_119,content_119,Sample solution steps for Aptitude - verbal Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_120,content_120,Sample solution steps for Mathematics - probability Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_121,content_121,Sample solution steps for Communication - listening Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_122,content_122,Sample solution steps for Physics - thermodynamics Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_123,content_123,Sample solution steps for Aptitude - verbal Level 1,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_124,content_124,Sample solution steps for Mathematics - probability Level 2,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
ex_content_125,content_125,Sample solution steps for Physics - electricity Level 3,"Accuracy: 5, Steps: 3, Clarity: 2","{""keywords"": [""correct"", ""solution""], ""max_score"": 10}"
